,Asx Code,Company Name,Finacial Year,Revenue Increase %,industry,pricediff
0,MOQ,MOQ LIMITED,6/30/2016,886.0,Software & Services,-7.758492896849907
1,1ST,1ST GROUP LIMITED,6/30/2016,561.0,Health Care Equipment & Services,-23.382352941176464
2,T3D,333D LIMITED,6/30/2016,186.0,Commercial & Professional Services,-44.11414982164088
3,TGP,360 CAPITAL GROUP,6/30/2016,36.0,Real Estate,3.0048770575086357
4,TDO,3D OIL LIMITED,6/30/2015,304.0,Energy,-42.610132158590304
5,4DS,4DS MEMORY LIMITED,6/30/2016,1053815.0,Semiconductors & Semiconductor Equipment,13.725099601593627
6,5GN,5G NETWORKS LIMITED,6/30/2018,29187071.999999996,Telecommunication Services,0.0
7,8IH,8I HOLDINGS LTD,3/31/2016,140.0,Diversified Financials,-46.919393088204814
8,9SP,9 SPOKES INTERNATIONAL LIMITED,3/31/2016,632.0,Software & Services,-14.675984752223632
9,ACB,A-CAP RESOURCES LIMITED,6/30/2017,71.0,Energy,-13.277310924369745
10,AYI,A1 INVESTMENTS & RESOURCES LTD,6/30/2016,313.0,Diversified Financials,0.0
11,ABL,ABILENE OIL AND GAS LIMITED,6/30/2015,40.0,Energy,-43.902195608782414
12,ABT,ABUNDANT PRODUCE LIMITED,6/30/2018,149.0,"Food, Beverage & Tobacco",0.0
13,AX1,ACCENT GROUP LIMITED,6/26/2016,225.99999999999997,Retailing,-40.945871727588944
14,ACS,ACCENT RESOURCES NL,6/30/2016,54.0,Materials,-53.274735181428895
15,ACF,ACROW FORMWORK AND CONSTRUCTION SERVICES LIMITED,6/30/2018,533922.0,Capital Goods,0.0
16,ACW,ACTINOGEN MEDICAL LIMITED,6/30/2016,2476.0,"Pharmaceuticals, Biotechnology & Life Sciences",-8.339160839160837
17,AIV,ACTIVEX LIMITED,6/30/2016,32.0,Materials,83.92802056555273
18,1AD,ADALTA LIMITED,6/30/2017,143.0,"Pharmaceuticals, Biotechnology & Life Sciences",31.796445880452335
19,ADR,ADHERIUM LIMITED,6/30/2018,150.0,Health Care Equipment & Services,0.0
20,AHZ,ADMEDUS LTD,6/30/2016,40.0,Health Care Equipment & Services,-29.248103012186714
21,ANO,ADVANCE NANOTEK LIMITED,6/30/2018,36.0,Materials,0.0
22,ABV,ADVANCED BRAKING TECHNOLOGY LTD,6/30/2017,50.0,Automobiles & Components,-22.941176470588225
23,AER,AEERIS LTD,6/30/2016,49.0,Software & Services,-53.41514360313316
24,AEI,AERIS ENVIRONMENTAL LTD,6/30/2016,72.0,Commercial & Professional Services,-30.04481290611697
25,AIS,AERIS RESOURCES LIMITED,6/30/2018,40.0,Materials,0.0
26,APT,AFTERPAY TOUCH GROUP LIMITED,6/30/2016,5700.0,Software & Services,
27,AGJ,AGRICULTURAL LAND TRUST,6/30/2016,121.0,Real Estate,-11.521739130434776
28,AMN,AGRIMIN LIMITED,6/30/2015,128.0,Materials,111.77111111111107
29,APW,AIMS PROPERTY SECURITIES FUND,6/30/2018,162.0,Real Estate,0.0
30,AJL,AJ LUCAS GROUP LIMITED,6/30/2018,70.0,Capital Goods,0.0
31,AUQ,ALARA RESOURCES LIMITED,6/30/2016,260.0,Materials,-9.943714821763598
32,ACL,ALCHEMIA LIMITED,6/30/2016,339.0,"Pharmaceuticals, Biotechnology & Life Sciences",-42.20705346985209
33,AJX,ALEXIUM INTERNATIONAL GROUP LIMITED,6/30/2016,4970.0,Materials,-22.343287909539
34,AQI,ALICANTO MINERALS LIMITED,6/30/2016,643.0,Materials,-5.4182697592612925
35,AGS,ALLIANCE RESOURCES LIMITED,6/30/2016,214.0,Materials,-39.15949960906959
36,AZI,ALTA ZINC LIMITED,6/30/2015,32.0,Materials,-1.330989452536414
37,AMA,AMA GROUP LIMITED,6/30/2016,184.0,Retailing,5.8906483417986255
