Asx Code,Asx Code,Company Name,Finacial Year,Revenue Increase %,industry,pricediff
MOQ,MOQ,MOQ LIMITED,6/30/2016,886.0,Software & Services,-7.758492896849908
1ST,1ST,1ST GROUP LIMITED,6/30/2016,561.0,Health Care Equipment & Services,-23.382352941176467
TGP,TGP,360 CAPITAL GROUP,6/30/2016,36.0,Real Estate,3.004877057508636
TDO,TDO,3D OIL LIMITED,6/30/2015,304.0,Energy,-42.610132158590304
4DS,4DS,4DS MEMORY LIMITED,6/30/2016,1053815.0,Semiconductors & Semiconductor Equipment,13.725099601593628
5GN,5GN,5G NETWORKS LIMITED,6/30/2018,29187072.0,Telecommunication Services,0.0
8IH,8IH,8I HOLDINGS LTD,3/31/2016,140.0,Diversified Financials,-46.91939308820482
ACB,ACB,A-CAP RESOURCES LIMITED,6/30/2017,71.0,Energy,-13.277310924369745
AYI,AYI,A1 INVESTMENTS & RESOURCES LTD,6/30/2016,313.0,Diversified Financials,0.0
ABL,ABL,ABILENE OIL AND GAS LIMITED,6/30/2015,40.0,Energy,-43.902195608782414
ABT,ABT,ABUNDANT PRODUCE LIMITED,6/30/2018,149.0,"Food, Beverage & Tobacco",0.0
AX1,AX1,ACCENT GROUP LIMITED,6/26/2016,226.0,Retailing,-40.945871727588944
ACS,ACS,ACCENT RESOURCES NL,6/30/2016,54.0,Materials,-53.2747351814289
ACF,ACF,ACROW FORMWORK AND CONSTRUCTION SERVICES LIMITED,6/30/2018,533922.0,Capital Goods,0.0
ACW,ACW,ACTINOGEN MEDICAL LIMITED,6/30/2016,2476.0,"Pharmaceuticals, Biotechnology & Life Sciences",-8.339160839160838
AIV,AIV,ACTIVEX LIMITED,6/30/2016,32.0,Materials,83.92802056555273
1AD,1AD,ADALTA LIMITED,6/30/2017,143.0,"Pharmaceuticals, Biotechnology & Life Sciences",31.79644588045233
ADR,ADR,ADHERIUM LIMITED,6/30/2018,150.0,Health Care Equipment & Services,0.0
AHZ,AHZ,ADMEDUS LTD,6/30/2016,40.0,Health Care Equipment & Services,-29.248103012186714
ANO,ANO,ADVANCE NANOTEK LIMITED,6/30/2018,36.0,Materials,0.0
ABV,ABV,ADVANCED BRAKING TECHNOLOGY LTD,6/30/2017,50.0,Automobiles & Components,-22.941176470588225
AER,AER,AEERIS LTD,6/30/2016,49.0,Software & Services,-53.41514360313315
AEI,AEI,AERIS ENVIRONMENTAL LTD,6/30/2016,72.0,Commercial & Professional Services,-30.044812906116967
APT,APT,AFTERPAY TOUCH GROUP LIMITED,6/30/2016,5700.0,Software & Services,
